"region","region_abbr","location","year","antigen","dose_type","estimation_category","estimation_type","coverage"
"COUNTRIES","USA","United States of America",2009,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2009,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",2008,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99
"COUNTRIES","USA","United States of America",2008,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2008,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2008,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2007,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2007,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",98
"COUNTRIES","USA","United States of America",2007,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2007,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2006,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99
"COUNTRIES","USA","United States of America",2006,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2006,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2006,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2005,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2005,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99
"COUNTRIES","USA","United States of America",2005,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2005,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2004,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99
"COUNTRIES","USA","United States of America",2004,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2004,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2004,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2003,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",2003,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99.2
"COUNTRIES","USA","United States of America",2003,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2003,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",2002,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",97.4
"COUNTRIES","USA","United States of America",2002,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",93.9
"COUNTRIES","USA","United States of America",2002,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2002,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",2001,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2001,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",2001,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2000,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2000,"DTPCV1","DTP-containing vaccine, 1st dose","OFFICIAL","Official coverage",99.99
"COUNTRIES","USA","United States of America",2000,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2000,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",1999,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",95.9
"COUNTRIES","USA","United States of America",1999,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1999,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",99
"COUNTRIES","USA","United States of America",1999,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1998,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1998,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1998,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1998,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1997,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1997,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1997,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1997,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1996,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",95
"COUNTRIES","USA","United States of America",1996,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",95
"COUNTRIES","USA","United States of America",1996,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1996,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",1995,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",95
"COUNTRIES","USA","United States of America",1995,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",95
"COUNTRIES","USA","United States of America",1995,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",1995,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1994,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",94
"COUNTRIES","USA","United States of America",1994,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",1994,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",1994,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1993,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",88
"COUNTRIES","USA","United States of America",1993,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",88
"COUNTRIES","USA","United States of America",1993,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1993,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",88
"COUNTRIES","USA","United States of America",1992,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",83
"COUNTRIES","USA","United States of America",1992,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",83
"COUNTRIES","USA","United States of America",1992,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",83
"COUNTRIES","USA","United States of America",1992,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",1991,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",69
"COUNTRIES","USA","United States of America",1991,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",95
"COUNTRIES","USA","United States of America",1991,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",86
"COUNTRIES","USA","United States of America",1990,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",90
"COUNTRIES","USA","United States of America",1990,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1989,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",1989,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1988,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",97
"COUNTRIES","USA","United States of America",1988,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1988,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1987,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",97
"COUNTRIES","USA","United States of America",1987,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1987,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1986,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",97
"COUNTRIES","USA","United States of America",1986,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1986,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1985,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1985,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1985,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1985,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1984,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",97
"COUNTRIES","USA","United States of America",1984,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",97
"COUNTRIES","USA","United States of America",1984,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1984,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1983,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",97
"COUNTRIES","USA","United States of America",1983,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",97
"COUNTRIES","USA","United States of America",1983,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1983,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",97
"COUNTRIES","USA","United States of America",1982,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1982,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1982,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1982,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1981,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1981,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1981,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1981,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",1980,"DTPCV3","DTP-containing vaccine, 3rd dose","ADMIN","Administrative coverage",96
"COUNTRIES","USA","United States of America",1980,"DTPCV3","DTP-containing vaccine, 3rd dose","OFFICIAL","Official coverage",96
"COUNTRIES","USA","United States of America",1980,"DTPCV1","DTP-containing vaccine, 1st dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",98
"COUNTRIES","USA","United States of America",1980,"DTPCV3","DTP-containing vaccine, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",96
"COUNTRIES","USA","United States of America",2023,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2022,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",92.7
"COUNTRIES","USA","United States of America",2022,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2021,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91.9
"COUNTRIES","USA","United States of America",2021,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",92
"COUNTRIES","USA","United States of America",2020,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91.4
"COUNTRIES","USA","United States of America",2020,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2019,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91
"COUNTRIES","USA","United States of America",2019,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2018,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91.4
"COUNTRIES","USA","United States of America",2018,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2017,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91
"COUNTRIES","USA","United States of America",2017,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2016,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",92.6
"COUNTRIES","USA","United States of America",2016,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2015,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91.6
"COUNTRIES","USA","United States of America",2015,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",92
"COUNTRIES","USA","United States of America",2014,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",92
"COUNTRIES","USA","United States of America",2014,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",92
"COUNTRIES","USA","United States of America",2013,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91
"COUNTRIES","USA","United States of America",2013,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2012,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",90
"COUNTRIES","USA","United States of America",2012,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",90
"COUNTRIES","USA","United States of America",2011,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91
"COUNTRIES","USA","United States of America",2011,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",91
"COUNTRIES","USA","United States of America",2010,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",91.3
"COUNTRIES","USA","United States of America",2010,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",92
"COUNTRIES","USA","United States of America",2009,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",92
"COUNTRIES","USA","United States of America",2009,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",92
"COUNTRIES","USA","United States of America",2008,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",94
"COUNTRIES","USA","United States of America",2008,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",94
"COUNTRIES","USA","United States of America",2007,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",93
"COUNTRIES","USA","United States of America",2007,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2006,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",93
"COUNTRIES","USA","United States of America",2006,"HEPB3","HepB, 3rd dose","WUENIC","WHO/UNICEF Estimates of National Immunization Coverage",93
"COUNTRIES","USA","United States of America",2005,"HEPB3","HepB, 3rd dose","OFFICIAL","Official coverage",93
