"Vaccine/Exemption","Dose","Geography Type","Geography","School Year","Estimate (%)","Population Size","Percent Surveyed","Footnotes","Number of Exemptions","Survey Type","Not_required"
"Exemption","Non-Medical Exemption","States","Indiana","2016-17",0.8,83263,NA,"†",697,"Vol. Response",FALSE
"Exemption","Any Exemption","States","Indiana","2021-22",2.4,83198,75.1,"†",1980,"Vol. Response",FALSE
"Varicella","UTD (unknown disease history)","States","Indiana","2020-21",92.8,78694,71.4,"§",NA,"Vol. Response",FALSE
"Varicella","UTD (unknown disease history)","States","Indiana","2021-22",91.7,83198,75.1,"§",NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2022-23",94.4,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2022-23",91.6,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2022-23",2.5,81307,87.5,"†",2071,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Exemption","Medical Exemption","States","Indiana","2022-23",0.2,81307,87.5,"†",175,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Exemption","Any Exemption","States","Indiana","2022-23",2.8,81307,87.5,"†",2246,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Varicella","UTD (unknown disease history)","States","Indiana","2022-23",91.6,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Polio",NA,"States","Indiana","2022-23",88.8,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2022-23",83,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2022-23",NA,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",TRUE
"MMR",NA,"States","Indiana","2022-23",92,81307,87.5,"§",NA,"Vol. Response (Pub.), Census (Pvt.)",FALSE
"MMR",NA,"States","Indiana","2023-24",90.8,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2023-24",81.8,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2023-24",NA,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",TRUE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2023-24",90.3,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Hepatitis B",NA,"States","Indiana","2023-24",93.3,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Polio",NA,"States","Indiana","2023-24",81.8,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Exemption","Non-Medical Exemption","States","Indiana","2023-24",2.4,80639,88.5,"†",1899,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Exemption","Medical Exemption","States","Indiana","2023-24",0.1,80639,88.5,"†",75,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Exemption","Any Exemption","States","Indiana","2023-24",2.4,80639,88.5,"†",1974,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Varicella","UTD (unknown disease history)","States","Indiana","2023-24",90.3,80639,88.5,"§",NA,"Census (Pub.), Vol. Response (Pvt.)",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2009-10",NA,84390,94.7,NA,NA,"Census",TRUE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2021-22",NA,83198,75.1,"§",NA,"Vol. Response",TRUE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2015-16",88,83525,69.5,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2014-15",90.1,85477,70.1,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2013-14",90.2,87193,70.3,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2012-13",93.9,86983,83.4,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2011-12",91.9,83416,67.5,NA,NA,"Vol. Response",FALSE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2019-20",NA,88253,65.7,NA,NA,"Vol. Response",TRUE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2020-21",NA,78694,71.4,"§",NA,"Vol. Response",TRUE
"DTP, DTaP, or DT",NA,"States","Indiana","2017-18",94.3,84296,96.4,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2019-20",84,88253,65.7,NA,NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2018-19",94.4,82324,96.4,NA,NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2021-22",84,83198,75.1,"§",NA,"Vol. Response",FALSE
"DTP, DTaP, or DT",NA,"States","Indiana","2020-21",83.9,78694,71.4,"§",NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2011-12",90.4,83416,67.5,NA,NA,"Vol. Response",FALSE
"Polio",NA,"States","Indiana","2009-10",92.9,84390,94.7,NA,NA,"Census",FALSE
"Hepatitis B",NA,"States","Indiana","2021-22",94.9,83198,75.1,"§",NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2020-21",95.3,78694,71.4,"§",NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2018-19",92.4,82324,96.4,NA,NA,"Census",FALSE
"Hepatitis B",NA,"States","Indiana","2019-20",96,88253,65.7,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2015-16",90.3,83525,69.5,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2014-15",90.3,85477,70.1,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2016-17",90.2,83263,80.3,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2017-18",92.8,84296,96.4,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2013-14",97.1,87193,70.3,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2012-13",95.6,86983,83.4,NA,NA,"Vol. Response",FALSE
"Hepatitis B",NA,"States","Indiana","2011-12",93.2,83416,67.5,NA,NA,"Vol. Response",FALSE
"Varicella","1 Dose (unknown disease history)","States","Indiana","2009-10",96,84390,94.7,NA,NA,"Census",FALSE
"Hepatitis B",NA,"States","Indiana","2009-10",95.2,84390,94.7,NA,NA,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2021-22",91.7,83198,75.1,"§",NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2016-17",87.9,83263,80.3,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2018-19",93.5,82324,96.4,NA,NA,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2017-18",90.2,84296,96.4,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2019-20",94,88253,65.7,NA,NA,"Vol. Response",FALSE
"Varicella","2 Doses (unknown disease history)","States","Indiana","2020-21",92.8,78694,71.4,"§",NA,"Vol. Response",FALSE
"MMR",NA,"States","Maryland","2022-23",96.7,59684,100,"*. ‡",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","Maryland","2022-23",96.9,59684,100,"*. ‡",NA,"Census",FALSE
"Varicella","1 Dose (unknown disease history)","States","Maryland","2022-23",NA,59684,100,"*. ‡",NA,"Census",TRUE
"Hepatitis B",NA,"States","Maryland","2022-23",97,59684,100,"*. ‡",NA,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","Maryland","2022-23",96.6,59684,100,"*. ‡",NA,"Census",FALSE
"Exemption","Non-Medical Exemption","States","Maryland","2022-23",1.4,59684,100,"†",836,"Census",FALSE
"Exemption","Medical Exemption","States","Maryland","2022-23",0.5,59684,100,"†",307,"Census",FALSE
"Exemption","Any Exemption","States","Maryland","2022-23",1.9,59684,100,"†",1143,"Census",FALSE
"Polio",NA,"States","Maryland","2022-23",97.2,59684,100,"*. ‡",NA,"Census",FALSE
"Varicella","UTD (unknown disease history)","States","Maryland","2022-23",96.6,59684,100,"*. ‡",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2022-23",96.5,21068,100,"*",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2022-23",94.7,21068,100,"*",NA,"Census",FALSE
"Varicella","1 Dose (unknown disease history)","States","New Mexico","2022-23",NA,21068,100,"*",NA,"Census",TRUE
"MMR",NA,"States","New Mexico","2022-23",94.9,21068,100,"*",NA,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2022-23",94.4,21068,100,"*",NA,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2022-23",0.1,21068,100,"†",28,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2022-23",1.4,21068,100,"†",291,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2022-23",1.5,21068,100,"†",319,"Census",FALSE
"Polio",NA,"States","New Mexico","2022-23",95,21068,100,"*",NA,"Census",FALSE
"Varicella","UTD (unknown disease history)","States","New Mexico","2022-23",94.4,21068,100,"*",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2009-10",99,26318,2.2,NA,NA,"Random Sample",FALSE
"MMR",NA,"States","New Mexico","2021-22",94.3,20736,100,"*",NA,"Census",FALSE
"MMR",NA,"States","New Mexico","2018-19",96.1,25269,99.6,NA,NA,"Census",FALSE
"MMR",NA,"States","New Mexico","2017-18",94.8,26896,99.6,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2020-21",95.7,20589,100,"*",NA,"Census",FALSE
"MMR",NA,"States","New Mexico","2019-20",97,23087,100,"*",NA,"Census",FALSE
"MMR",NA,"States","New Mexico","2015-16",96.2,29049,2.7,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2016-17",95.5,27119,4.5,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"Varicella","UTD (unknown disease history)","States","New Mexico","2021-22",93.6,20736,100,"*",NA,"Census",FALSE
"Varicella","UTD (unknown disease history)","States","New Mexico","2020-21",95.3,20589,100,"*",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2009-10",99.1,26318,2.2,NA,NA,"Random Sample",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2021-22",93.6,20736,100,"*",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2011-12",97.3,29159,2,NA,NA,"2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2012-13",96.2,29279,3.3,"‡",NA,"2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2013-14",97.2,30725,2.7,"‡",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2016-17",95.4,27119,4.5,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2017-18",96,26896,99.6,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2014-15",98.7,29918,3.3,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2015-16",97,29049,2.7,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Hepatitis B",NA,"States","New Mexico","2019-20",97.7,23087,100,"*",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2018-19",96.8,25269,99.6,NA,NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2020-21",96.9,20589,100,"*",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2021-22",93.7,20736,100,"*",NA,"Census",FALSE
"Polio",NA,"States","New Mexico","2009-10",99.3,26318,2.2,NA,NA,"Random Sample",FALSE
"Polio",NA,"States","New Mexico","2011-12",97.6,29159,2,NA,NA,"2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2009-10",97.6,26318,2.2,NA,NA,"Random Sample",FALSE
"MMR",NA,"States","New Mexico","2011-12",95.7,29159,2,NA,NA,"2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2012-13",93.9,29279,3.3,"‡",NA,"2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2013-14",95.9,30725,2.7,"‡",NA,"Stratified 2-Stage Cluster Sample",FALSE
"MMR",NA,"States","New Mexico","2014-15",97.7,29918,3.3,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2011-12",96.9,29159,2,NA,NA,"2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2012-13",96.6,29279,3.3,"‡",NA,"2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2013-14",97.4,30725,2.7,"‡",NA,"Stratified 2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2016-17",94.8,27119,4.5,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2014-15",96.4,29918,3.3,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2015-16",94.7,29049,2.7,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2023-24",1.4,20699,100,"†",300,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2023-24",0.1,20699,100,"†",29,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2023-24",1.6,20699,100,"†",329,"Census",FALSE
"Varicella","UTD (unknown disease history)","States","New Mexico","2023-24",94.4,20699,100,"*",NA,"Census",FALSE
"MMR",NA,"States","New Mexico","2023-24",95,20699,100,"*",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2023-24",94.8,20699,100,"*",NA,"Census",FALSE
"Varicella","1 Dose (unknown disease history)","States","New Mexico","2023-24",NA,20699,100,"*",NA,"Census",TRUE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2023-24",94.4,20699,100,"*",NA,"Census",FALSE
"Hepatitis B",NA,"States","New Mexico","2023-24",96.7,20699,100,"*",NA,"Census",FALSE
"Polio",NA,"States","New Mexico","2023-24",95,20699,100,"*",NA,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2016-17",2.2,27119,NA,"†",604,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2019-20",1.3,23087,NA,"†",298,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2020-21",0.8,20589,100,"†",166,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2018-19",1.2,25269,NA,"†",303,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2017-18",1.5,26896,NA,"†",394,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Any Exemption","States","New Mexico","2009-10",0.7,26318,NA,"††. †",183,"Random Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2021-22",1.1,20736,100,"†",222,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2021-22",1.4,20736,100,"†",280,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2018-19",1.5,25269,NA,"†",388,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2020-21",0.9,20589,100,"†",189,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2019-20",1.5,23087,NA,"†",344,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2015-16",1.3,29049,NA,"†",365,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2014-15",1.2,29918,NA,"†",365,"Census",FALSE
"Exemption","Any Exemption","States","New Mexico","2013-14",1.1,30725,NA,"†",349,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Any Exemption","States","New Mexico","2012-13",0.4,29279,NA,"†",47,"2-Stage Cluster Sample",FALSE
"Exemption","Any Exemption","States","New Mexico","2011-12",2,29159,NA,"†",12,"2-Stage Cluster Sample",FALSE
"Exemption","Any Exemption","States","New Mexico","2017-18",1.7,26896,NA,"†",445,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Any Exemption","States","New Mexico","2016-17",2.3,27119,NA,"†",610,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2012-13",96.8,29279,3.3,"‡",NA,"2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2013-14",97.4,30725,2.7,"‡",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2014-15",97.9,29918,3.3,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2015-16",95.6,29049,2.7,"†",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2017-18",94.8,26896,99.6,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2016-17",95.1,27119,4.5,NA,NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2018-19",96.1,25269,99.6,NA,NA,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2013-14",0.2,30725,NA,NA,72,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Medical Exemption","States","New Mexico","2012-13",0.2,29279,NA,NA,20,"2-Stage Cluster Sample",FALSE
"Exemption","Medical Exemption","States","New Mexico","2011-12",0.1,29159,NA,"<",0,"2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2021-22",94.3,20736,100,"*",NA,"Census",FALSE
"Polio",NA,"States","New Mexico","2020-21",95.7,20589,100,"*",NA,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2011-12",94.2,29159,2,NA,NA,"2-Stage Cluster Sample",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2012-13",94,29279,3.3,"‡",NA,"2-Stage Cluster Sample",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2013-14",93.4,30725,2.7,"‡",NA,"Stratified 2-Stage Cluster Sample",FALSE
"Polio",NA,"States","New Mexico","2019-20",96.9,23087,100,"*",NA,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2014-15",1.2,29918,NA,"†",347,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2013-14",0.9,30725,NA,"†",277,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2015-16",1.2,29049,NA,"†",346,"Census",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2012-13",0.2,29279,NA,"†",27,"2-Stage Cluster Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2011-12",2,29159,NA,"†",12,"2-Stage Cluster Sample",FALSE
"Exemption","Non-Medical Exemption","States","New Mexico","2009-10",0.7,26318,NA,"†",183,"Random Sample",FALSE
"Exemption","Medical Exemption","States","New Mexico","2021-22",0.3,20736,100,"†",58,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2020-21",0.1,20589,100,"†",23,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2018-19",0.3,25269,NA,"†",84,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2019-20",0.2,23087,NA,"†",46,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2017-18",0.2,26896,NA,NA,51,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Medical Exemption","States","New Mexico","2016-17",0.1,27119,NA,"<",6,"Stratified 2-Stage Cluster Sample",FALSE
"Exemption","Medical Exemption","States","New Mexico","2015-16",0.1,29049,NA,NA,19,"Census",FALSE
"Exemption","Medical Exemption","States","New Mexico","2014-15",0.1,29918,NA,NA,18,"Census",FALSE
"Varicella","2 Doses (unknown disease history)","States","New Mexico","2009-10",94.9,26318,2.2,NA,NA,"Random Sample",FALSE
"Varicella","1 Dose (unknown disease history)","States","New Mexico","2021-22",NA,20736,100,"*",NA,"Census",TRUE
"DTP, DTaP, or DT",NA,"States","New Mexico","2020-21",95.7,20589,100,"*",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2021-22",94,20736,100,"*",NA,"Census",FALSE
"DTP, DTaP, or DT",NA,"States","New Mexico","2018-19",96,25269,99.6,NA,NA,"Census",FALSE
